GEOID,ntl
48201100000,-0.2516870215027956
48201210400,0.2197819084872913
48201210500,-0.098851520614629
48201210600,-0.5783164167971602
48201210700,0.637658652493233
48201210800,0.5117464437298104
48201210900,0.40882320909483366
48201211000,0.5188971526685037
48201211100,0.3773678784847439
48201211200,0.10683155682178515
48201211300,0.4359569501081506
48201211400,0.7216033242422312
48201211500,0.6937609960786107
48201211600,0.7415352099019276
48201211700,-0.06116112374799261
48201211900,0.36376573462194
48201212300,0.3049483335238935
48201212400,0.26387928220881224
48201212500,0.5602788567445278
48201220100,-0.6371050928285307
48201220200,-0.8146228732503885
48201220300,-0.4673533325540592
48201220400,-0.2928400506591645
48201220500,-0.6689658590045391
48201220600,-0.032629402049511376
48201220700,0.2532909112382419
48201220800,0.2561964992868673
48201220900,0.7462383169737521
48201221000,1.2020890692668504
48201221100,0.3969486664991022
48201221200,-0.39509264756090096
48201221300,0.33006673476658527
48201221400,-0.5665897989730443
48201221500,-0.8164598223413538
48201221600,-0.32883455677175466
48201221700,-0.1536472786626129
48201221800,0.5301843142137073
48201221900,1.002637208132196
48201222000,0.14748125279583726
48201222100,-0.1093540113707201
48201222200,-0.009755971240664196
48201222300,0.405853493780387
48201222401,0.08732316794402079
48201222402,0.7903524753440339
48201222501,-0.7999472476414049
48201222502,0.44955362621376715
48201222503,-0.6500721301938762
48201222600,-0.7257094395783559
48201222700,-0.5533758840498847
48201222800,0.44227570091216745
48201222900,0.7172612763278499
48201223001,0.8167595543202553
48201223002,1.0112048855774949
48201223100,-0.17230277704207192
48201230100,-0.7866753607661423
48201230200,-0.05002273509248237
48201230300,0.3455394266602988
48201230400,0.1376903286429038
48201230500,0.40009184183868723
48201230600,0.5049055977660444
48201230700,0.7381338467059979
48201230800,0.11672021001167726
48201230900,-0.7494517143204065
48201231000,-0.6699527683854549
48201231100,-0.6652816098263657
48201231200,-0.583121001948239
48201231300,-0.7169276934579736
48201231400,-0.7298314707717903
48201231500,-0.08072168548285866
48201231600,-0.107837481660007
48201231700,-0.7079962221993532
48201231800,-0.6416901194612872
48201231900,-0.7317190104370345
48201232000,-0.4735524976897597
48201232100,-0.0012122497287622642
48201232200,-0.5582978908050226
48201232301,-0.5236859162047137
48201232302,-0.1656364985470627
48201232401,-0.05029001424265332
48201232402,-0.20590652794296327
48201232403,-0.6889375996352648
48201232500,-0.7064928920648618
48201232600,-0.7698167541658282
48201232701,-0.48667068895802496
48201232702,-0.09511833465880079
48201232800,-0.26194432921956085
48201232900,0.0885363679427443
48201233001,0.4005962890616239
48201233002,0.4538831016603899
48201233003,0.7625120133551097
48201233101,0.41524109045603347
48201233102,0.5783809978984835
48201233103,0.36172640304691106
48201233200,0.4001687812739113
48201233300,-0.15359222017055246
48201233400,-0.5999144246797148
48201233500,-0.10496204535361456
48201233600,0.496516843580764
48201233701,0.4662421404670626
48201233702,0.8224860766599079
48201233703,0.8511412951882098
48201240100,-0.5538465341666181
48201240400,-0.11709883692180259
48201240501,-0.7205072267849475
48201240502,-0.5936245780243926
48201240600,-0.6274666628273301
48201240701,-0.0898203342307003
48201240702,-0.7421416516101084
48201240801,0.1179952925687339
48201240802,0.7230000144863147
48201240901,0.515198811045289
48201240902,0.08393335704464593
48201241000,0.6642315992565404
48201241101,0.48243313274099403
48201241102,0.31058878172617305
48201241103,0.5843370860813826
48201241200,0.47325296061181066
48201241300,0.05440448742323285
48201241400,0.4759105027286505
48201241500,-0.4857342925113606
48201250100,-0.58579057103263
48201250200,-0.7543654254743152
48201250301,-0.7551802330421797
48201250302,-0.8626274876857036
48201250401,-0.7743001510000856
48201250402,-0.8702749011543128
48201250500,-0.33780282361741426
48201250600,-0.7660533909283828
48201250701,0.33566676387972433
48201250702,-0.6056806854739664
48201250800,-0.6799676922553369
48201250900,-0.03035414098863544
48201251000,-0.12934557696218266
48201251100,-0.22066099694917585
48201251200,0.01369461030290432
48201251300,0.3099891145556385
48201251401,0.44561025865902615
48201251402,0.5837698253817982
48201251501,0.3351815264249102
48201251502,0.31683038909096417
48201251503,0.2698659843333208
48201251600,0.11022946929851682
48201251700,-0.3432511405416589
48201251800,-0.03133474470917698
48201251901,-0.339515911561713
48201251902,-0.5489721475004332
48201252000,-0.44854147596981847
48201252100,0.04319719796362374
48201252200,-0.1187271788983971
48201252301,0.2994694720766249
48201252302,0.25953481613304147
48201252400,0.7914583454987637
48201252500,1.113642708919446
48201252600,1.8167097511568298
48201252700,-0.4291990640815403
48201252800,0.8226927599451934
48201252900,-0.13104093300154682
48201253000,-0.054178360068398476
48201253100,0.1388879363806621
48201253200,-0.3872791082271676
48201253300,2.186611660156009
48201253400,1.238680627580528
48201253500,0.1955270667074806
48201253600,0.9564585161726195
48201253700,0.1703416231940506
48201253800,0.6507029707065461
48201253900,0.5687596510490445
48201254000,1.194133917795938
48201254100,0.8435146909980843
48201254200,1.0064171536069257
48201254300,1.2875021134590838
48201254400,1.427081688329759
48201254500,2.049023853097022
48201254600,1.1466483204139073
48201254700,1.454708058789419
