GEOID,income_rank,catogroy
48201100000,0.7848911651728553,Q4
48201210400,0.18053777208706787,Q1
48201210500,0.1997439180537772,Q1
48201210600,0.5185659411011524,Q3
48201210700,0.23431498079385404,Q2
48201210800,0.13700384122919335,Q1
48201210900,0.1446862996158771,Q1
48201211000,0.1946222791293214,Q1
48201211100,0.03713188220230474,Q1
48201211200,0.0076824583866837385,Q1
48201211300,0.04865556978233035,Q1
48201211400,0.0793854033290653,Q1
48201211500,0.1267605633802817,Q1
48201211600,0.11267605633802817,Q1
48201211700,0.0998719590268886,Q1
48201211900,0.1677336747759283,Q1
48201212300,0.028169014084507043,Q1
48201212400,0.21510883482714468,Q2
48201212500,0.2599231754161332,Q2
48201220100,0.12804097311139565,Q1
48201220200,0.2740076824583867,Q2
48201220300,0.3687580025608195,Q2
48201220400,0.19078104993597952,Q1
48201220500,0.005121638924455826,Q1
48201220600,0.23047375160051217,Q2
48201220700,0.029449423815621,Q1
48201220800,0.02176696542893726,Q1
48201220900,0.2496798975672215,Q2
48201221000,0.10243277848911651,Q1
48201221100,0.0678617157490397,Q1
48201221200,0.3034571062740077,Q2
48201221300,0.35723431498079383,Q2
48201221400,0.15492957746478872,Q1
48201221500,0.08450704225352113,Q1
48201221600,0.39436619718309857,Q2
48201221700,0.2880921895006402,Q2
48201221800,0.08322663252240717,Q1
48201221900,0.30217669654289375,Q2
48201222000,0.20486555697823303,Q2
48201222100,0.07426376440460948,Q1
48201222200,0.15749039692701663,Q1
48201222300,0.2970550576184379,Q2
48201222401,0.19846350832266324,Q1
48201222402,0.3764404609475032,Q2
48201222501,0.024327784891165175,Q1
48201222502,0.37772087067861715,Q2
48201222503,0.13956466069142126,Q1
48201222600,0.04353393085787452,Q1
48201222700,0.008962868117797696,Q1
48201222800,0.117797695262484,Q1
48201222900,0.44558258642765686,Q3
48201223001,0.4174135723431498,Q3
48201223002,0.034571062740076826,Q1
48201223100,0.5428937259923176,Q3
48201230100,0.16261203585147246,Q1
48201230200,0.10115236875800256,Q1
48201230300,0.13316261203585147,Q1
48201230400,0.06658130601792574,Q1
48201230500,0.17157490396927016,Q1
48201230600,0.08962868117797695,Q1
48201230700,0.02560819462227913,Q1
48201230800,0.09603072983354674,Q1
48201230900,0.011523687580025609,Q1
48201231000,0.29577464788732394,Q2
48201231100,0.2535211267605634,Q2
48201231200,0.19206145966709348,Q1
48201231300,0.2087067861715749,Q2
48201231400,0.2586427656850192,Q2
48201231500,0.08578745198463508,Q1
48201231600,0.34314980793854033,Q2
48201231700,0.08066581306017925,Q1
48201231800,0.28425096030729835,Q2
48201231900,0.2701664532650448,Q2
48201232000,0.3866837387964149,Q2
48201232100,0.17285531370038412,Q1
48201232200,0.6248399487836107,Q4
48201232301,0.3700384122919334,Q2
48201232302,0.6427656850192062,Q4
48201232401,0.5838668373879642,Q3
48201232402,0.47247119078104993,Q3
48201232403,0.352112676056338,Q2
48201232500,0.23943661971830985,Q2
48201232600,0.559539052496799,Q3
48201232701,0.12419974391805377,Q1
48201232702,0.20998719590268886,Q2
48201232800,0.32522407170294493,Q2
48201232900,0.36363636363636365,Q2
48201233001,0.31498079385403327,Q2
48201233002,0.7554417413572343,Q4
48201233003,0.7157490396927016,Q4
48201233101,0.16389244558258642,Q1
48201233102,0.16645326504481434,Q1
48201233103,0.2112676056338028,Q2
48201233200,0.4660691421254802,Q3
48201233300,0.3674775928297055,Q2
48201233400,0.14980793854033292,Q1
48201233500,0.382842509603073,Q2
48201233600,0.052496798975672214,Q1
48201233701,0.24199743918053776,Q2
48201233702,0.39308578745198464,Q2
48201233703,0.5249679897567221,Q3
48201240100,0.088348271446863,Q1
48201240400,0.34571062740076824,Q2
48201240501,0.11139564660691421,Q1
48201240502,0.023047375160051217,Q1
48201240600,0.03841229193341869,Q1
48201240701,0.4020486555697823,Q3
48201240702,0.5544174135723432,Q3
48201240801,0.16517285531370038,Q1
48201240802,0.4852752880921895,Q3
48201240901,0.6914212548015365,Q4
48201240902,0.6325224071702945,Q4
48201241000,0.44814340588988477,Q3
48201241101,0.6658130601792573,Q4
48201241102,0.6722151088348272,Q4
48201241103,0.3854033290653009,Q2
48201241200,0.49551856594110116,Q3
48201241300,0.8233034571062741,Q5
48201241400,0.734955185659411,Q4
48201241500,0.3072983354673495,Q2
48201250100,0.7336747759282971,Q4
48201250200,0.6043533930857875,Q4
48201250301,0.6081946222791293,Q4
48201250302,0.7451984635083226,Q4
48201250401,0.8361075544174136,Q5
48201250402,0.9052496798975672,Q5
48201250500,0.6683738796414853,Q4
48201250600,0.09475032010243278,Q1
48201250701,0.7400768245838668,Q4
48201250702,0.8719590268886044,Q5
48201250800,0.8629961587708067,Q5
48201250900,0.9551856594110115,Q5
48201251000,0.8207426376440461,Q5
48201251100,0.7503201024327785,Q4
48201251200,0.6350832266325224,Q4
48201251300,0.8156209987195903,Q5
48201251401,0.8745198463508322,Q5
48201251402,0.6261203585147247,Q4
48201251501,0.93854033290653,Q5
48201251502,0.9526248399487837,Q5
48201251503,0.8962868117797695,Q5
48201251600,0.7989756722151088,Q4
48201251700,0.33162612035851474,Q2
48201251800,0.7580025608194623,Q4
48201251901,0.7272727272727273,Q4
48201251902,0.8335467349551856,Q5
48201252000,0.9257362355953905,Q5
48201252100,0.676056338028169,Q4
48201252200,0.5851472471190781,Q3
48201252301,0.6069142125480154,Q4
48201252302,0.7016645326504481,Q4
48201252400,0.5710627400768246,Q3
48201252500,0.3994878361075544,Q2
48201252600,0.4033290653008963,Q3
48201252700,0.2560819462227913,Q2
48201252800,0.5646606914212549,Q3
48201252900,0.58898847631242,Q3
48201253000,0.3508322663252241,Q2
48201253100,0.8847631241997439,Q5
48201253200,0.7516005121638925,Q4
48201253300,0.764404609475032,Q4
48201253400,0.3085787451984635,Q2
48201253500,0.4980793854033291,Q3
48201253600,0.33290653008962867,Q2
48201253700,0.5224071702944942,Q3
48201253800,0.5761843790012804,Q3
48201253900,0.45454545454545453,Q3
48201254000,0.4507042253521127,Q3
48201254100,0.2855313700384123,Q2
48201254200,0.4353393085787452,Q3
48201254300,0.3892445582586428,Q2
48201254400,0.21254801536491677,Q2
48201254500,0.37900128040973113,Q2
48201254600,0.5032010243277849,Q3
48201254700,0.5480153649167734,Q3
48201310100,0.6542893725992317,Q4
48201310200,0.939820742637644,Q5
48201310300,0.323943661971831,Q2
48201310400,0.11395646606914213,Q1
48201310500,0.25096030729833546,Q2
48201310600,0.16005121638924455,Q1
48201310700,0.42509603072983354,Q3
48201310800,0.2266325224071703,Q2
48201310900,0.08194622279129321,Q1
48201311000,0.07298335467349552,Q1
48201311100,0.22151088348271447,Q2
48201311200,0.23687580025608196,Q2
48201311300,0.38028169014084506,Q2
48201311400,0.25224071702944945,Q2
48201311500,0.44174135723431496,Q3
48201311600,0.10755441741357234,Q1
48201311700,0.12291933418693982,Q1
48201311800,0.2471190781049936,Q2
48201311900,0.4327784891165173,Q3
48201312000,0.6235595390524968,Q4
48201312100,0.0012804097311139564,Q1
48201312200,0.03969270166453265,Q1
48201312300,0.24455825864276567,Q2
48201312400,0.010243277848911651,Q1
48201312500,0.8399487836107554,Q5
48201312600,0.6606914212548015,Q4
48201312700,0.5454545454545454,Q3
48201312800,0.0038412291933418692,Q1
48201312900,0.24839948783610755,Q2
48201313000,0.33034571062740076,Q2
48201313100,0.7823303457106274,Q4
48201313200,0.6120358514724712,Q4
48201313300,0.14852752880921896,Q1
48201313400,0.016645326504481434,Q1
48201313500,0.28681177976952626,Q2
48201313600,0.019206145966709345,Q1
48201313700,0.4186939820742638,Q3
48201313800,0.06402048655569782,Q1
48201313900,0.4379001280409731,Q3
48201314001,0.5902688860435339,Q3
48201314002,0.41357234314980795,Q3
48201314300,0.15108834827144688,Q1
48201314400,0.5019206145966709,Q3
48201320100,0.2573623559539053,Q2
48201320200,0.31882202304737517,Q2
48201320500,0.5800256081946222,Q3
48201320601,0.3265044814340589,Q2
48201320602,0.1293213828425096,Q1
48201320700,0.5096030729833547,Q3
48201320800,0.2752880921895006,Q2
48201320900,0.43149807938540335,Q3
48201321000,0.4494238156209987,Q3
48201321100,0.6056338028169014,Q4
48201321200,0.19590268886043533,Q1
48201321300,0.2791293213828425,Q2
48201321401,0.2970550576184379,Q2
48201321402,0.6222791293213829,Q4
48201321500,0.14084507042253522,Q1
48201321600,0.6299615877080665,Q4
48201321700,0.6619718309859155,Q4
48201321800,0.6107554417413572,Q4
48201321900,0.40717029449423814,Q3
48201322000,0.23815620998719592,Q2
48201322100,0.293213828425096,Q2
48201322200,0.12548015364916773,Q1
48201322600,0.45966709346991036,Q3
48201322700,0.47631241997439183,Q3
48201322800,0.4673495518565941,Q3
48201322900,0.43405889884763127,Q3
48201323000,0.09859154929577464,Q1
48201323100,0.2023047375160051,Q2
48201323200,0.5633802816901409,Q3
48201323300,0.17797695262483995,Q1
48201323400,0.3738796414852753,Q2
48201323500,0.09090909090909091,Q1
48201323600,0.4148527528809219,Q3
48201323701,0.4827144686299616,Q3
48201323702,0.4225352112676056,Q3
48201323801,0.5774647887323944,Q3
48201323802,0.4058898847631242,Q3
48201323900,0.13444302176696543,Q1
48201324000,0.6888604353393086,Q4
48201324100,0.27784891165172854,Q2
48201324200,0.020486555697823303,Q1
48201330100,0.5467349551856594,Q3
48201330200,0.4084507042253521,Q3
48201330301,0.587708066581306,Q3
48201330302,0.4814340588988476,Q3
48201330303,0.36235595390524966,Q2
48201330400,0.2880921895006402,Q2
48201330500,0.42893725992317544,Q3
48201330600,0.48655569782330343,Q3
